timestamp,ch0,ch1
3708371.034,-12,847
3708371.034,2,831
3708371.037,82,767
3708371.037,108,750
3708371.043,109,749
3708371.043,92,764
3708371.052,14,827
3708371.052,-12,845
3708371.059,-13,845
3708371.059,3,831
3708371.066,81,766
3708371.066,107,748
3708371.074,108,749
3708371.074,90,765
3708371.084,12,827
3708371.084,-13,845
3708371.091,-15,844
3708371.091,1,830
3708371.099,80,766
3708371.099,108,748
3708371.113,110,749
3708371.113,92,763
3708371.116,13,826
3708371.116,-10,845
3708371.131,-14,846
3708371.131,2,832
3708371.131,82,769
3708371.131,107,752
3708371.15,107,752
3708371.15,90,767
3708371.15,12,832
3708371.15,-12,851
3708371.153,-15,852
3708371.153,1,838
3708371.162,82,774
3708371.162,108,757
3708371.171,108,756
3708371.171,90,771
3708371.178,11,835
3708371.178,-13,851
3708371.186,-14,851
3708371.186,3,836
3708371.195,82,772
3708371.195,108,754
3708371.204,109,754
3708371.204,92,769
3708371.216,14,834
3708371.216,-10,851
3708371.218,-13,850
3708371.218,4,834
3708371.23,82,772
3708371.23,108,755
3708371.233,110,754
3708371.233,89,770
3708371.242,13,833
3708371.242,-13,850
3708371.261,-13,850
3708371.261,3,836
3708371.261,82,773
3708371.261,107,755
3708371.268,109,755
3708371.268,93,770
3708371.275,15,833
3708371.275,-12,851
3708371.282,-12,852
3708371.282,4,837
3708371.291,82,775
3708371.291,109,756
3708371.316,109,756
3708371.316,91,771
3708371.33,14,835
3708371.33,-11,851
3708371.332,-14,851
3708371.332,4,836
3708371.333,82,774
3708371.333,107,755
3708371.335,109,755
3708371.335,90,770
3708371.339,12,833
3708371.339,-13,850
3708371.353,-16,851
3708371.353,3,837
3708371.353,82,772
3708371.353,106,755
3708371.362,109,754
3708371.362,95,769
3708371.381,14,832
3708371.381,-12,850
3708371.381,-11,849
3708371.381,3,833
3708371.387,82,771
3708371.387,108,754
3708371.395,110,754
3708371.395,92,769
3708371.403,12,832
3708371.403,-12,850
3708371.411,-14,851
3708371.411,4,836
3708371.431,84,772
3708371.431,109,753
3708371.431,107,752
3708371.431,90,769
3708371.434,13,832
3708371.434,-13,849
3708371.443,-15,849
3708371.443,4,835
3708371.451,83,771
3708371.451,108,754
3708371.46,110,753
3708371.46,94,768
3708371.467,14,832
3708371.467,-11,850
3708371.479,-11,850
3708371.479,6,835
3708371.484,84,772
3708371.484,108,753
3708371.49,112,752
3708371.49,93,767
3708371.499,15,832
3708371.499,-11,850
3708371.508,-13,850
3708371.508,5,834
3708371.514,85,770
3708371.514,108,753
3708371.523,108,753
3708371.523,89,768
3708371.541,13,831
3708371.541,-11,849
3708371.541,-15,848
3708371.541,2,833
3708371.547,82,771
3708371.547,108,754
3708371.553,108,753
3708371.553,91,768
3708371.565,13,831
3708371.565,-11,849
3708371.571,-12,849
3708371.571,5,834
3708371.577,80,770
3708371.577,106,752
3708371.586,110,752
3708371.586,93,769
3708371.595,11,832
3708371.595,-16,850
3708371.616,-16,850
3708371.616,1,833
3708371.63,81,770
3708371.63,104,753
3708371.631,105,753
3708371.631,90,767
3708371.633,11,831
3708371.633,-14,849
3708371.636,-16,851
